#separator:tab
#html:false
#notetype:Cloze
#deck:AZ-900
#columns:Text	Extra	Tags
#tags column:3
Cloud computing is the delivery of computing services (compute, storage, databases, networking, software) over {{c1::the internet}}.	Based on Microsoft AZ-900 skills outline (Jan 14, 2026).	az900 cloud-concepts
Under the shared responsibility model, the customer is ALWAYS responsible for their {{c1::data and identities}}, regardless of IaaS/PaaS/SaaS.	Provider always handles physical datacenter, physical network, physical hosts.	az900 cloud-concepts shared-responsibility
In IaaS, the customer is responsible for the {{c1::operating system}}, applications, and data; the provider manages the hardware, virtualization, and physical network.		az900 cloud-concepts shared-responsibility
In SaaS, the provider manages nearly everything; the customer is only responsible for {{c1::data, devices, accounts, and identities}}.		az900 cloud-concepts shared-responsibility
{{c1::Public}} cloud: services offered over the public internet by a third-party provider; resources shared across multiple tenants.		az900 cloud-concepts cloud-models
{{c1::Private}} cloud: computing resources used exclusively by a single organization; can be on-premises or hosted by a third party.		az900 cloud-concepts cloud-models
{{c1::Hybrid}} cloud: combines public and private clouds, allowing data and applications to be shared between them.		az900 cloud-concepts cloud-models
The {{c1::consumption-based}} pricing model means you pay only for the resources you use, with no upfront capital expense.		az900 cloud-concepts pricing
CapEx is {{c1::upfront spending on physical infrastructure}}, while OpEx is {{c1::ongoing, pay-as-you-go operational spending}}.	Cloud shifts CapEx to OpEx.	az900 cloud-concepts pricing
{{c1::Serverless}} computing means the cloud provider manages the underlying infrastructure; you deploy code and pay only for execution time.	Azure Functions is a serverless compute example.	az900 cloud-concepts serverless
{{c1::High availability}} is the ability of a service to remain operational and accessible, usually backed by SLAs.		az900 cloud-concepts benefits
{{c1::Scalability}} is the ability to increase or decrease resources to match demand; {{c2::vertical}} scaling means a bigger machine, {{c2::horizontal}} scaling means more machines.		az900 cloud-concepts benefits
{{c1::Elasticity}} is the ability to automatically scale resources up or down in response to changing demand.		az900 cloud-concepts benefits
{{c1::Reliability}} is the ability of a system to recover from failures and continue functioning.		az900 cloud-concepts benefits
IaaS stands for {{c1::Infrastructure as a Service}}; an Azure example is {{c2::Azure Virtual Machines}}.		az900 cloud-concepts service-types
PaaS stands for {{c1::Platform as a Service}}; an Azure example is {{c2::Azure App Service}}.		az900 cloud-concepts service-types
SaaS stands for {{c1::Software as a Service}}; an example is {{c2::Microsoft 365}}.		az900 cloud-concepts service-types
Typical IaaS use case: {{c1::lift-and-shift migration, test/dev, full control over OS}}.		az900 cloud-concepts service-types
Typical PaaS use case: {{c1::application development without managing the underlying infrastructure}}.		az900 cloud-concepts service-types
Typical SaaS use case: {{c1::standardized productivity applications like email, CRM, collaboration}}.		az900 cloud-concepts service-types
An Azure {{c1::region}} is a set of datacenters within a latency-defined perimeter, connected by a dedicated regional low-latency network.		az900 architecture core-components
{{c1::Region pairs}} are two regions within the same geography paired for disaster recovery, at least {{c2::300 miles}} apart.	Per the AZ-900 training module. Examples: West US / East US, Southeast Asia / East Asia.	az900 architecture core-components
{{c1::Sovereign}} regions are isolated instances of Azure such as Azure Government (US) and Azure China (operated by 21Vianet).		az900 architecture core-components
{{c1::Availability zones}} are physically separate datacenters within an Azure region, each with independent power, cooling, and networking.	A region supporting AZs has a minimum of three.	az900 architecture core-components
An Azure {{c1::datacenter}} is a physical facility containing servers that provide Azure services.		az900 architecture core-components
An Azure {{c1::resource}} is any service instance you create, such as a VM, storage account, or database.		az900 architecture core-components
A {{c1::resource group}} is a logical container for Azure resources that share the same lifecycle; a resource can only belong to one resource group.		az900 architecture core-components
An Azure {{c1::subscription}} is a logical unit of Azure services linked to an account; it serves as a billing boundary and access boundary.		az900 architecture core-components
A {{c1::management group}} is a container for organizing subscriptions to apply governance (policy, access) across many subscriptions at once.		az900 architecture core-components
The Azure resource hierarchy from top to bottom is: {{c1::management groups → subscriptions → resource groups → resources}}.		az900 architecture core-components
{{c1::Azure Virtual Machine Scale Sets}} let you create and manage a group of identical, load-balanced VMs that can auto-scale.		az900 architecture compute
{{c1::Availability sets}} are a logical grouping of VMs within a datacenter that spreads them across {{c2::fault domains and update domains}} for redundancy.		az900 architecture compute
{{c1::Azure Virtual Desktop}} is a desktop and application virtualization service running in Azure (supports Windows multi-session).		az900 architecture compute
{{c1::Azure Functions}} is an event-driven serverless compute service for running small pieces of code on demand.		az900 architecture compute
{{c1::Azure Container Instances (ACI)}} is the simplest way to run a container in Azure without managing orchestration.		az900 architecture compute
